QuestionNumber,FinalQuestion,GeneratedAnswerOptions,CorrectAnswer,Explanation
Q56,You have an Azure subscription that contains an Azure Blob Storage account named storage’ and an Azure Synapse Analytics dedicated SQL pool named Pool1. You need to store data in storage1. The data will be read by Pool1. The solution must meet the following requirements: Enable Pool to skip columns and rows that are unnecessary in a query. c® Automatically create column statistics. c> Minimize the size of files. Which type of file should you use?,"A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q57,"You plan to create a table in an Azure Synapse Analytics dedicated SQL pool. Data in the table will be retained for five years. Once a year, data that is older than five years will be deleted. You need to ensure that the data is distributed evenly across partitions. The solution must minimize the amount of time required to delete old data. How should you complete the Transact-SQL statement?","A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q58,A company has to implement an application that would generate PDF files. The application would only need to store the PDF's and JSON metadata related to the PDF files. The PDF files would then be distributed over the web to various users. The PDF files could grow large in size. What Azure data and storage solutions are recommended for the application?,"A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q59,You have an Azure Data Lake Storage Gen2 service. You need to design a data archiving solution that meets the following requirements: c® Data that is older than five years is accessed infrequently but must be available within one second when requested. ce Data that is older than seven years is NOT accessed. -® Costs must be minimized while maintaining the required availability. How should you manage the data?,"A. Store in Parquet format, B. Store in JSON format, C. Store in CSV format, D. Store in TXT format",A. Store in Parquet format,Parquet format is best for optimized query performance and reduced storage costs in Azure Data Lake.
Q60,You plan to create an Azure Data Lake Storage Gen2 account. You need to recommend a storage solution that meets the following requirements: c® Provides the highest degree of data resiliency c® Ensures that content remains available for writes if a primary data center fails What should you include in the recommendation?,"A. Store in Parquet format, B. Store in JSON format, C. Store in CSV format, D. Store in TXT format",A. Store in Parquet format,Parquet format is best for optimized query performance and reduced storage costs in Azure Data Lake.
Q61,"You need to implement a Type 3 slowly changing dimension (SCD) for product category data in an Azure Synapse Analytics dedicated SQL pool. You have a table that was created by using the following Transact-SQL statement. Which two columns should you add to the table? Each correct answer presents part of the solution. NOTE: Each correct selection is worth one point. A [EffectiveEndDate] [datetime] NULL, 8. [CurrentProductCategory] [nvarchar] (100) NOT NULL, c. [ProductCategory] [nvarchar] (100) NOT NULL, oD (EffectiveStartDate] [datetime] NOT NULL, E [OriginalProductCategory] [nvarchar] (100) NOT NULL, Correct Answer: BE CREATE TABLE [DBO] . [DimProduct] ( [ProductKey] [int] IDENTITY (1,1) NOT NULL, [ProductSourceID] [int] NOT NULL, [ProductNane] [nvarchar] (100) NOT NULL, [Color] [nvarchar] (15) NULL, [SellstartDate] [date] NOT NULL, [Sellend0ate] [date] NULL, [RowInsertedDateTime] [datetime] NOT NULL, [RowipdatedDateTine] [datetime] NOT NULL, (ETLAuditID] [int] NoT NULL ) ","A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q62,"You have created an Azure Synapse Analytics managed table backed by Parquet in Spark and query from a serverless SQL pool. The following command was used: CREATE TABLE mytestdbo.myparquettable(id int, name string, birthdate date) USING Parquet Then you add a row in the table with values as given. What will be the output of the following query which will be run after a few mins? SELECT id FROM mytestdbo.myparquettable WHERE birthdate = '01-01-2001' ERROR NULL","A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q63,"You have an Azure subscription. You plan to build a data warehouse in an Azure Synapse Analytics dedicated SQL pool named pool! that will contain staging tables and a dimensional model. Pool! will contain the following tables. You need to design the table storage for pooll. The solution must meet the following requirements: c® Maximize the performance of data loading operations to Staging.WebSessions. c® Minimize query times for reporting queries against the dimensional model. Name ‘Number of rows Update frequency Description Common. Date 7,300 New rows * Contains one row per date Inserted yearly forthe last 20 years + Contains columns named Year, Month, Quarter, and |sWeekend Marketing WebSessions 4,500 500,000 Hourly inserts and updates | Fact table that contains counts of and updates sessions and page views, including foreign key values for date, channel, device, and medium Staging WebSessions '300,000 Hourly truncation and inserts Staging table for web session data, truncation and including descriptive fields for inserts channel, device, nd medium Which type of table distribution should you use for each table?","A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q64,You have an Azure Synapse Analytics dedicated SQL pool. You need to create a table named FactinternetSales that will be a large fact table in a dimensional model. FactinternetSales will contain 100 million rows and two columns named SalesAmount and OrderQuantity. Queries executed on FactInternetSales will aggregate the values in SalesAmount and OrderQuantity from the last year for a specific product. The solution must minimize the data size and query execution time. How should you complete the code?,"A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q65,You have an Azure Synapse Analytics dedicated SQL pool that contains a table named Table1. Table1 contains the following: ® One billion rows © A clustered columnstore index c® A hash-distributed column named Product Key c® A column named Sales Date that is of the date data type and cannot be null Thirty million rows will be added to Table1 each month. You need to partition Table1 based on the Sales Date column. The solution must optimize query performance and data loading. How often should you create a partition?,"A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q66,You have an Azure Databricks workspace that contains a Delta Lake dimension table named Table1. Table1 is a Type 2 slowly changing dimension (SCD) table. You need to apply updates from a source table to Table1. Which Apache Spark SQL operation should you use?,"A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q67,"The following JSON is an example of a Parquet datase ‘ on Azure Blob Storage. “referenceNane”: “<Azure Blob Storage linked service name>"", Which of the JSON dataset properties is configured } “GFL S TEATS WASTED incorrectly? “Schema”: [ < physical schema, optional, retrievable during authoring > ],, “typeProperties”: zureBlobStorageLocation”, “: “containername”, folder/subfolder,","A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q68,You are designing an Azure Data Lake Storage solution that will transform raw JSON files for use in an analytical workload. You need to recommend a format for the transformed files. The solution must meet the following requirements: © Contain information about the data types of each column in the files. c® Support querying a subset of columns in the files. c> Support read-heavy analytical workloads. > Minimize the file size. What should you recommend?,"A. Store in Parquet format, B. Store in JSON format, C. Store in CSV format, D. Store in TXT format",A. Store in Parquet format,Parquet format is best for optimized query performance and reduced storage costs in Azure Data Lake.
Q69,You have an Azure Storage account that contains 100 GB of files. The files contain rows of text and numerical values. 75% of the rows contain description data that has an average length of 1.1 MB. You plan to copy the data from the storage account to an enterprise data warehouse in Azure Synapse Analytics. You need to prepare the files to ensure that the data copies quickly. Solution: You modify the files to ensure that each row is less than 1 MB. Does this meet the goal?,"A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q70,You plan to create a dimension table in Azure Synapse Analytics that will be less than 1 GB. You need to create the table to meet the following requirements: c® Provide the fastest query time. c® Minimize data movement during queries. Which type of table should you use?,"A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q71,"You have to choose a real-time stream processing solution in Azure that meets the following requirements: 1.The solution must support Event Hubs, loT Hub, Kafka, and HDFS as input data sources. 2.The solution must support custom code as an input data format. 3.The solution needs built-in support for temporal processing. 4.Cosmos DB should be a supported sink. Which is the most suitable solution?","A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q72,You are designing a dimension table in an Azure Synapse Analytics dedicated SQL pool. You need to create a surrogate key for the table. The solution must provide the fastest query performance. What should you use for the surrogate key?,"A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q73,"An electronics company needs to migrate Azure Data Lake Storage from ADLS Gen1 to Gen2 for a data analysis solution. The following are the key properties defining the current setup of ADLS Gen1"" Data Organization with file and folder support *Ecosystem based on Azure Databricks 3.1 for big data analytics Encryption of data at rest using customer-managed key «Traffic accepted only from Specific VMs in an integrated Virtual Network VNet integration utilizes network service endpoint security for authentication to ADLS storage Which of the above properties requires refactoring or re-architecting to complete the migration successfully? (Choose 2 answers) Data Organization with file and folder support Ecosystem based on Azure Databricks 3.1 for big data analytics Traffic accepted only from Specific VMs in integrated Virtual Network VNet integration utilizes network service endpoint security for authentication to ADLS storage SORE Pe Plo 1:17:5973:02:47 ","A. Store in Parquet format, B. Store in JSON format, C. Store in CSV format, D. Store in TXT format",A. Store in Parquet format,Parquet format is best for optimized query performance and reduced storage costs in Azure Data Lake.
Q74,"You have an Azure Data Lake Storage Gen2 account that contains a container named container1. You have an Azure Synapse Analytics serverless SQL pool that contains a native external table named dbo.Table1. The source data for dbo.Table1 is stored in container1. The folder structure of container1 is shown in the following exhibit. The external data source is defined by a using the following statement. CREATE EXTERNAL DATA SOURCE DataLake same (LOCATION = ‘https: //mydatalake.dfs.core.windows.net/containert/foldert/**"" » CREDENTIAL = DataLakeCred % For each of the following statements, select Yes if the statement is true. Otherwise, select No. NOTE: Each correct selection is worth one point. Answer Area Statements Yes No When selecting all the rows in dbo.Table1, data from the mydata2.csv file will be returned. o 9° ","A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q75,You have an Azure Synapse Analytics dedicated SQL pool. You need to create a fact table named Table’ that will store sales data from the last three years. The solution must be optimized for the following query operations: + Show order counts by week. + Calculate sales totals by region. + Calculate sales totals by product. + Find all the orders from a given month. Which data should you use to partition Table1?,"A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q76,You are designing the folder structure for an Azure Data Lake Storage Gen2 account. You identify the following usage patterns: + Users will query data by using Azure Synapse Analytics serverless SQL pools and Azure Synapse Analytics serverless Apache Spark pools. + Most queries will include a filter on the current year or week. + Data will be secured by data source. You need to recommend a folder structure that meets the following requirements: + Supports the usage patterns + Simplifies folder security + Minimizes query times Which folder structure should you recommend?,"A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q77,The data team is designing a data analysis solution that includes several interdependent Azure Data Factory (ADF) pipelines. The first pipeline in a series will output values stored in Azure Synapse Analytics. Subsequent pipelines will need to reference the output value from the first pipeline and then proceed to an If Condition activity. What activity must the data team include in ADF pipelines to reference the external value stored in ADF and then proceed to the If Condition activity based on that value? Wait Activity ForEach Activity Set Variable Lookup Activity SORFr ,"A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q78,You have an Azure subscription that contains an Azure Synapse — Analytics dedicated SQL pool. (CREATE HOLE (dbo) .{Sales) You plan to deploy a solution that will analyze sales data and include ‘ ensue) sine sor wee the following: Icustomeetd] int NOT WILL country) Ant WoT WL + Atable named Country that will contain 195 rows + (Total) money MOF MLL + A table named Sales that will contain 100 million rows : + A query to identify total sales by country and customer from the = past 30 days rsrareution = ad HASH@{Customertd) ; _ HasH(OrderDate) You need to create the tables. The solution must maximize query REPLICATE performance. — cuustene coumnsrone 00% How should you complete the script?,"A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q79,You have an Azure subscription that contains an Azure Data Lake Storage Gen2 account named account! and an Azure Synapse Analytics workspace named workspace1. You need to create an external table in a serverless SQL pool in workspace’. The external table will reference CSV files stored in account1. The solution must maximize performance. How should you configure the external table?,"A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q80,"You have an Azure Synapse Analytics serverless SQL epee pees pool that contains a database named db1. The data model ‘StateProvince 1 Month . . . we, Region Year for db1 is shown in the following exhibit. ont Calarter Use the drop-down menus to select the answer choice that completes each statement based on the information one presented in the exhibit. CustomeriD (Ga CustomerName [] eae a . CustomerType FactOrders NOTE: Each correct selection is worth one point. Geographykey Customerkey an StoreKey Dimstore PrecuctKary StoreKey OrderDateKey ent StorelD | OrderNumber ProductiD StoreName OrderLineNumber | -—) —productName sucreh Cd ProductLinelD Geograp! cI To convert the data model to a star schema, [answer choice). o ","A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q81,"The following shows a table in a dedicated SQL CED Pool in Azure Synapse Analytics: A user was given permission to access the table using the following statement: menber1 menber2 GRANT SELECT ON Membership(Member!D, Name, Phone, Amount) TO TestUser; After entering the data into tables, the newly created TestUser tuns the following query SELECT * FROM Membership; What is the expected output of this query?","A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q82,You have an Azure Databricks workspace and an Azure Data Lake Storage Gen2 account named storage1. New files are uploaded daily to storage1. You need to recommend a solution that configures storage’ as a structured streaming source. The solution must meet the following requirements: + Incrementally process new files as they are uploaded to storage. + Minimize implementation and maintenance effort. + Minimize the cost of processing millions of files. + Support schema inference and schema drift. Which should you include in the recommendation?,"A. Store in Parquet format, B. Store in JSON format, C. Store in CSV format, D. Store in TXT format",A. Store in Parquet format,Parquet format is best for optimized query performance and reduced storage costs in Azure Data Lake.
Q83,You have an Azure subscription that contains the resources shown in the following table. storage! | Azure Blob storage Contains publicly accessible TSV files that account do NOT have a header row [st [serene nneees Contains a serverless SQL pool You need to read the TSV files by using ad-hoc queries and the OPENROWSET function. The solution must assign a name and override the inferred data type of each column. What should you include in the OPENROWSET function?,"A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q84,You have an Azure Synapse Analytics dedicated SQL pool that contains a table named DimSalesPerson. DimSalesPerson contains the following columns: + RepSourcelD + SalesRepID + FirstName + LastName * StartDate + EndDate + Region You are developing an Azure Synapse Analytics pipeline that includes a mapping data flow named Dataflow1. Dataflow1 will read sales team data from an external source and use a Type 2 slowly changing dimension (SCD) when loading the data into DimSalesPerson. You need to update the last name of a salesperson in DimSalesPerson. Which two actions should you perform? Each correct answer presents part of the solution. NOTE: Each correct selection is worth one point.,"A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q85,"A data team is designing several data processing solutions with complex Azure Data Factory (ADF) pipelines. These pipelines are dependent upon the successful completion of HDInsight processing jobs that will be initiated simultaneously with the ADF pipelines. In order for the ADF pipeline to complete successfully, the HDInsight job output must be available. Which ADF control flow activity would work best when the pipeline must confirm and evaluate the HDInsight output before proceeding to the next task?","A. Use Azure Data Factory, B. Use Azure Stream Analytics, C. Use Azure Functions, D. Use Azure Event Grid",A. Use Azure Data Factory,Azure Data Factory is the best tool for managing and automating data pipelines for transformation and ingestion.
Q86,You plan to use an Azure Data Lake Storage Gen2 account to implement a Data Lake development environment that meets the following requirements: + Read and write access to data must be maintained if an availability zone becomes unavailable. + Data that was last modified more than two years ago must be deleted automatically. + Costs must be minimized. What should you configure?,"A. Store in Parquet format, B. Store in JSON format, C. Store in CSV format, D. Store in TXT format",A. Store in Parquet format,Parquet format is best for optimized query performance and reduced storage costs in Azure Data Lake.
Q87,You are developing an Azure Synapse Analytics pipeline that will include a mapping data flow named Dataflow1. Dataflow1 will read customer data from an external source and use a Type 1 slowly changing dimension (SCD) when loading the data into a table named DimCustomer in an Azure Synapse Analytics dedicated SQL pool. You need to ensure that Dataflow1 can perform the following tasks: + Detect whether the data of a given customer has changed in the DimCustomer table. + Perform an upsert to the DimCustomer table. Which type of transformation should you use for each task?,"A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q88,A data team is designing a data processing solution with an Azure Data Factory (ADF) pipeline that must call a custom REST endpoint from a Data Factory pipeline. Which ADF control activity will do this? . Wait Activity ForEach Activity . Web Activity . Lookup Activity pom> ,"A. Use Azure Data Factory, B. Use Azure Stream Analytics, C. Use Azure Functions, D. Use Azure Event Grid",A. Use Azure Data Factory,Azure Data Factory is the best tool for managing and automating data pipelines for transformation and ingestion.
Q89,You have an Azure Synapse Analytics serverless SQL pool. You have an Azure Data Lake Storage account named adls1 that contains a public container named container1. The container1 container contains a folder named folder1. You need to query the top 100 rows of all the CSV files in folder1. How should you complete the query?,"A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q90,"You have an Azure Synapse Analytics workspace named WS1 that contains an Apache Spark pool named Pool1. You plan to create a database named DB1 in Pool1. You need to ensure that when tables are created in DB1, the tables are available automatically as external tables to the built-in serverless SQL pool. Which format should you use for the tables in DB1?","A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q91,You have an Azure Data Lake Storage Gen2 account named storage1. You plan to implement query acceleration for storage1. Which two file types support query acceleration? Each correct answer presents a complete solution. NOTE: Each correct selection is worth one point.,"A. Store in Parquet format, B. Store in JSON format, C. Store in CSV format, D. Store in TXT format",A. Store in Parquet format,Parquet format is best for optimized query performance and reduced storage costs in Azure Data Lake.
Q92,"As a data engineer managing a company's Azure workloads, you need to upload 22 TB of data in Azure Storage into an Azure Synapse dedicated SQL pool. The 22 TB of data is Hive data in Optimized Row Columnar (ORC) format. After starting the upload, Azure displayed Java out-of-memory errors. You are not required to upload all of the data at once. Which steps could you take to complete the upload without generating similar errors? Use compressed delimited text files Export only a subset of the columns Colocate your storage layer and your dedicated SQL pool None of these options will prevent an error. com> ","A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q93,You have an Azure subscription that contains the resources shown in the following table. Name Type Description ‘StorageT ‘Azure Blob storage Contains publicly accessible JSON files account WSt ‘Azure Synapse Analyics | Contains a serverless SL pool workspace You need to read the files in storage1 by using ad-hoc queries and the OPENROWSET function. The solution must ensure that each rowset contains a single JSON record. To what should you set the FORMAT option of the OPENROWSET function?,"A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q94,"You have an Azure subscription that contains the Azure Synapse Analytics workspaces shown in the following table. Each workspace must read and write data to datalake1. Each workspace contains an unused Apache Spark pool. You plan to configure each Spark pool to share catalog objects that reference datalake1. For each of the following statements, select Yes if the statement is true. Otherwise, select No. NOTE: Each correct selection is worth one point. Answer Area Statements Yes The shared catalog objects can be stored in Azure Database for MySQL. © For the Apache Hive Metastore of each workspace, you must configure © 4 linked service that uses user-password authentication. ‘The users of workspace1 must be assigned the Storage Blob Contributor © role for datalake1. Name Primary storage account workspaceT datalaKet workspace? datalake2 workspaces datalaket ° ° ","A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q95,An application running on a third-party device has been programmed to send a stream of events to an loT Hub within Azure. You have set up an Azure Stream Analytics streaming job to use this loT Hub as a source. Your analysis team would like the data to be made available so that a Power BI dashboard will be updated automatically. Which sink type should be used? . Azure Data Factory . Azure Cosmos DB - Power BI Dataflow . Power BI Dataset poOmEr ,"A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q97,"You have a data warehouse. You need to implement a slowly changing dimension (SCD) named Product that will include three columns named ProductName, ProductColor, and ProductSize. The solution must meet the following requirements: + Prevent changes to the values stored in ProductName. + Retain only the current and the last values in ProductSize. + Retain all the current and previous values in ProductColor. Which type of SCD should you implement for each column?","A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q98,You have an Azure subscription that contains an Azure Synapse Analytics workspace named ws1 and an Azure Cosmos DB database account named Cosmos1. Cosmos contains a container named container1 and ws! contains a serverless SQL pool. You need to ensure that you can query the data in container1 by using the serverless SQL pool. Which three actions should you perform? Each correct answer presents part of the solution. NOTE: Each correct selection is worth one point.,"A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q99,"One of the largest fintech companies wants to utilize Azure Synapse Analytics for their new product, and expect that customers’ Personal Identifiable Information (Pll) will be stored in the databases. In addition, company employees on the data team members will require access to the dedicated SQL Pool created in Azure Synapse Analytics. How can you make sure that the Pll involved cannot be viewed by the data team? . Use Transparent Data Encryption (TDE) Use Dynamic Data Masking (DDM) Create user accounts without administrator privileges for data team members . Assign the SQL Security Manager role to data team members comPr ","A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q100,"You have an Azure subscription that contains an Azure Data Lake Storage Gen2 account named account! and a user named User. In account1, you create a container named container’. In container1, you create a folder named folder. You need to ensure that User1 can list and read all the files in folder. The solution must use the principle of least privilege. How should you configure the permissions for each folder?","A. Store in Parquet format, B. Store in JSON format, C. Store in CSV format, D. Store in TXT format",A. Store in Parquet format,Parquet format is best for optimized query performance and reduced storage costs in Azure Data Lake.
Q101,"You have an Azure Data Factory pipeline named pipeline1. You need to execute pipeline1 at 2 AM every day. The solution must ensure that if the trigger for pipeline stops, the next pipeline execution will occur at 2 AM, following a restart of the trigger. Which type of trigger should you create?","A. Use Azure Data Factory, B. Use Azure Stream Analytics, C. Use Azure Functions, D. Use Azure Event Grid",A. Use Azure Data Factory,Azure Data Factory is the best tool for managing and automating data pipelines for transformation and ingestion.
Q102,"You have an Azure data factory named adf1 that contains a pipeline named ExecProduct. ExecProduct contains a data flow named Product. The Product data flow contains the following transformations: 1. WeeklyData: A source that points to a CSV file in an Azure Data Lake Storage Gen2 account with 20 columns 2. ProductColumns: A select transformation that selects from WeeklyData six columns named ProductID, ProductDescr, ProductSubCategory, ProductCategory, ProductStatus, and ProductLastUpdated 3. ProductRows: An aggregate transformation 4. ProductList: A sink that outputs data to an Azure Synapse Analytics dedicated SQL pool The Aggregate settings for ProductRows are ‘Aggregate settings Optimize Inspect Data preview eee: — ae — —o Grouped by: Producti Add a} a Gi Open expression builder cot topeion configured as shown in the following exhibit. answer Area Statements There will be six columns in the output of ProductRows. Leaen more C3 ","A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q103,"You are an Azure SQL Database Software as a Service developer, and suddenly your app undergoes tremendous demand. You need to accommodate the growth so you add more databases (shards). How do you redistribute the data to the new databases without disrupting the data integrity?","A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q104,You manage an enterprise data warehouse in Azure Synapse Analytics. Users report slow performance when they run commonly used queries. Users do not report performance changes for infrequently used queries. You need to monitor resource utilization to determine the source of the performance issues. Which metric should you monitor?,"A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q105,You have an Azure Synapse Analytics serverless SQL pool. You have an Apache Parquet file that contains 10 columns. You need to query data from the file. The solution must return only two columns. How should you complete the query?,"A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q106,You plan to create a real-time monitoring app that alerts users when a device travels more than 200 meters away from a designated location. You need to design an Azure Stream Analytics job to process the data for the planned app. The solution must minimize the amount of code developed and the number of technologies used. What should you include in the Stream Analytics job?,"A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q107,"An electronics company utilizes Azure Data Lake Storage (ADLS) Generation 1 for Big Data Analytics. As part of the data analytics team, your new assignment is to plan and design the migration of ADLS Generation 1 to ADLS Generation 2. Only a small number of existing pipelines are connected to the current data lakes, but your team requires that the migration results in no downtime for any related applications and that the process requires minimal administration. Which of the following migration methods would best meet these requirements? Lift and Shift Incremental Copy Dual Pipeline Bidirectional Sync PHP ","A. Store in Parquet format, B. Store in JSON format, C. Store in CSV format, D. Store in TXT format",A. Store in Parquet format,Parquet format is best for optimized query performance and reduced storage costs in Azure Data Lake.
Q108,A company has a real-time data analysis solution that is hosted on Microsoft Azure. The solution uses Azure Event Hub to ingest data and an Azure Stream Analytics cloud job to analyze the data. The cloud job is configured to use 120 Streaming Units (SU). You need to optimize performance for the Azure Stream Analytics job. Which two actions should you perform? Each correct answer presents part of the solution. NOTE: Each correct selection is worth one point.,"A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q109,You need to trigger an Azure Data Factory pipeline when a file arrives in an Azure Data Lake Storage Gen2 container. Which resource provider should you enable?,"A. Store in Parquet format, B. Store in JSON format, C. Store in CSV format, D. Store in TXT format",A. Store in Parquet format,Parquet format is best for optimized query performance and reduced storage costs in Azure Data Lake.
Q110,You plan to perform batch processing in Azure Databricks once daily. Which type of Databricks cluster should you use?,"A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
